n,cogram_point
1164,1608.56293665869
1165,1609.69594618164
1166,1610.82881192595
1167,1611.96153404741
1168,1613.0941127015
1169,1614.22654804338
1170,1615.35884022794
1171,1616.49098940972
1172,1617.62299574301
1173,1618.75485938177
1174,1619.88658047967
1175,1621.01815919006
1176,1622.14959566603
1177,1623.28089006035
1178,1624.41204252548
1179,1625.54305321362
1180,1626.67392227664
1181,1627.80464986615
1182,1628.93523613343
1183,1630.06568122951
1184,1631.19598530508
1185,1632.32614851058
1186,1633.45617099615
1187,1634.58605291163
1188,1635.71579440658
1189,1636.84539563026
1190,1637.97485673168
1191,1639.10417785951
1192,1640.23335916218
1193,1641.36240078782
1194,1642.49130288428
1195,1643.62006559911
1196,1644.7486890796
1197,1645.87717347275
1198,1647.00551892528
1199,1648.13372558363
1200,1649.26179359397
1201,1650.38972310218
1202,1651.51751425386
1203,1652.64516719435
1204,1653.77268206869
1205,1654.90005902169
1206,1656.02729819782
1207,1657.15439974134
1208,1658.2813637962
1209,1659.40819050609
1210,1660.53488001442
1211,1661.66143246434
1212,1662.78784799873
1213,1663.91412676019
1214,1665.04026889106
1215,1666.16627453342
1216,1667.29214382907
1217,1668.41787691955
1218,1669.54347394613
1219,1670.66893504982
1220,1671.79426037136
1221,1672.91945005124
1222,1674.04450422968
1223,1675.16942304663
1224,1676.29420664179
1225,1677.41885515459
1226,1678.54336872421
1227,1679.66774748957
1228,1680.79199158933
1229,1681.91610116188
1230,1683.04007634537
1231,1684.16391727769
1232,1685.28762409647
1233,1686.41119693909
1234,1687.53463594268
1235,1688.65794124409
1236,1689.78111297995
1237,1690.90415128662
1238,1692.02705630022
1239,1693.14982815661
1240,1694.27246699139
1241,1695.39497293994
1242,1696.51734613737
1243,1697.63958671854
1244,1698.76169481807
1245,1699.88367057033
1246,1701.00551410945
1247,1702.12722556931
1248,1703.24880508353
1249,1704.37025278552
1250,1705.49156880842
1251,1706.61275328513
1252,1707.73380634831
1253,1708.85472813039
1254,1709.97551876353
1255,1711.09617837969
1256,1712.21670711056
1257,1713.3371050876
1258,1714.45737244202
1259,1715.57750930482
1260,1716.69751580673
1261,1717.81739207827
1262,1718.93713824971
1263,1720.05675445108
1264,1721.1762408122
1265,1722.29559746262
1266,1723.41482453168
1267,1724.53392214848
1268,1725.6528904419
1269,1726.77172954057
1270,1727.89043957289
1271,1729.00902066705
1272,1730.12747295098
1273,1731.24579655241
1274,1732.36399159882
1275,1733.48205821747
1276,1734.59999653539
1277,1735.71780667939
1278,1736.83548877605
1279,1737.95304295171
1280,1739.07046933251
1281,1740.18776804434
1282,1741.30493921289
1283,1742.42198296361
1284,1743.53889942172
1285,1744.65568871225
1286,1745.77235095998
1287,1746.88888628947
1288,1748.00529482507
1289,1749.1215766909
1290,1750.23773201088
1291,1751.35376090868
1292,1752.46966350777
1293,1753.58543993141
1294,1754.70109030263
1295,1755.81661474424
1296,1756.93201337885
1297,1758.04728632883
1298,1759.16243371636
1299,1760.2774556634
1300,1761.39235229167
1301,1762.50712372271
1302,1763.62177007784
1303,1764.73629147815
1304,1765.85068804453
1305,1766.96495989766
1306,1768.07910715801
1307,1769.19312994584
1308,1770.30702838119
1309,1771.4208025839
1310,1772.5344526736
1311,1773.64797876971
1312,1774.76138099145
1313,1775.87465945781
1314,1776.98781428761
1315,1778.10084559943
1316,1779.21375351166
1317,1780.32653814249
1318,1781.43919960988
1319,1782.55173803163
1320,1783.66415352529
1321,1784.77644620824
1322,1785.88861619763
1323,1787.00066361044
1324,1788.11258856342
1325,1789.22439117314
1326,1790.33607155595
1327,1791.44762982801
1328,1792.55906610529
1329,1793.67038050354
1330,1794.78157313833
1331,1795.89264412503
1332,1797.00359357879
1333,1798.11442161459
1334,1799.22512834721
